ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,ZIM_LANG,ZIM_CODE,ARA_LANG,ARA_CODE,PST_LANG,PST_CODE,WHG,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2019-12-31,Z31122019,Seebach,R00119,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,Baubegonnen,PST0006,1.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,119
2019-12-31,Z31122019,Weinegg,R00083,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,Baubegonnen,PST0006,11.0,Kreis 8 (ab 1915),R01100,2019-12-31,2019-12-31,2019,83
2019-12-31,Z31122019,Witikon,R00074,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,7.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,74
2019-12-31,Z31122019,Höngg,R00101,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,Baubegonnen,PST0006,0.0,Kreis 10 (ab 1934),R01500,2019-12-31,2019-12-31,2019,101
2019-12-31,Z31122019,Weinegg,R00083,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,2.0,Kreis 8 (ab 1915),R01100,2019-12-31,2019-12-31,2019,83
2019-12-31,Z31122019,Hottingen,R00072,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,Baubegonnen,PST0006,0.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,72
2019-12-31,Z31122019,Werd,R00041,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 4 (ab 1915),R00700,2019-12-31,2019-12-31,2019,41
2019-12-31,Z31122019,Affoltern,R00111,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,111
2019-12-31,Z31122019,Friesenberg,R00033,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,2.0,Kreis 3 (ab 1915),R00600,2019-12-31,2019-12-31,2019,33
2019-12-31,Z31122019,Hirslanden,R00073,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,36.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,73
2019-12-31,Z31122019,Oberstrass,R00063,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,31.0,Kreis 6 (ab 1934),R01200,2019-12-31,2019-12-31,2019,63
2019-12-31,Z31122019,Sihlfeld,R00034,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,Baubegonnen,PST0006,28.0,Kreis 3 (ab 1915),R00600,2019-12-31,2019-12-31,2019,34
2019-12-31,Z31122019,Weinegg,R00083,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,Baubegonnen,PST0006,26.0,Kreis 8 (ab 1915),R01100,2019-12-31,2019-12-31,2019,83
2019-12-31,Z31122019,Wipkingen,R00102,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,Baubegonnen,PST0006,2.0,Kreis 10 (ab 1934),R01500,2019-12-31,2019-12-31,2019,102
2019-12-31,Z31122019,Fluntern,R00071,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,1.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,71
2019-12-31,Z31122019,Altstetten,R00092,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,Baubegonnen,PST0006,2.0,Kreis 9 (ab 1934),R01400,2019-12-31,2019-12-31,2019,92
